"","clean_name","original_name","Compound_identifier","cid"
"3290","bicyclo-germacrene","bicyclo-germacrene","C3457",NA
"3291","bicyclo-vetivenol","bicyclo-vetivenol","C3458",NA
"3292","bicyclo [5.2.0] nonan, 2-methy","bicyclo [5.2.0] nonan, 2-methy","C3459",NA
"3293","bicyclo[2.2.1]hept-2-ene,dimethyl","bicyclo[2.2.1]hept-2-ene,dimethyl","C3460",NA
"3294","bicyclo[3.2.1]oct-2-ene,3-methyl-4-methylene","bicyclo[3.2.1]oct-2-ene,3-methyl-4-methylene","C3461",NA
"3295","bicyclodegermacrene","bicyclodegermacrene","C3462",NA
"3296","bicycloelemene","bicycloelemene","C358",56842786
"3297","bicyclofermacrene","bicyclofermacrene","C3463",NA
"3298","bicyclogemacrene","bicyclogemacrene","C3464",NA
"3299","bicyclogermacrene","bicyclogermacrene","C359",13894537
"3300","bicyclogermacrene","bicyclogermacrene","C359",13894537
"3301","bicyclogermacrene","bicyclogermacrene*","C3465",13894537
"3302","bicyclogermacrene","bicyclogermacrene*","C3465",13894537
"3303","bicyclogermacrene+epi-cubenol","bicyclogermacrene+epi-cubenol","C3466",NA
"3304","bicyclogerrnacrene","bicyclogerrnacrene","C3467",NA
"3305","bicyclogetmacrene","bicyclogetmacrene","C3468",NA
"3306","bicyclosesquiphellandrene","bicyclosesquiphellandrene","C3469",521496
"3307","bicyclovetivenol","bicyclovetivenol","C360",91748522
"3308","bifloratriene","bifloratriene","C3470",NA
"3309","biotol","biotol","C3471",NA
"3310","biphenyl","biphenyl","C3472",7095
"3311","biphenyl oxide","biphenyl oxide","C3473",7583
"3312","bis-(1-methylpropyl) disulfide","bis-(1-methylpropyl) disulfide","C3474",NA
"3313","bis-(1methylpropenyl) disulfide","bis-(1methylpropenyl) disulfide","C3475",NA
"3314","bis-(2-ethyl hexyl)-1,2-benzene dicarboxylic acid ester","bis-(2-ethyl hexyl)-1,2-benzene dicarboxylic acid ester","C3476",NA
"3315","bisabol-11-ol","bisabol-11-ol","C3477",NA
"3316","bisabola-2,10-dien-6,13-diol","bisabola-2,10-dien-6,13-diol","C3478",NA
"3317","bisabolene","bisabolene","C3479",3033866
"3318","bisabolol","bisabolol","C3480",1549992
"3319","bisabolol oxide","bisabolol oxide","C3481",NA
"3320","bisabolol oxide a","bisabolol oxide a","C3482",13092559
"3321","bisabolol oxide b","bisabolol oxide b","C3483",117301
"3322","bisabolone","bisabolone","C3484",NA
"3323","bisabolone oxide a","bisabolone oxide a","C3485",91700388
"3324","Bornel","Bornel","C3486",NA
"3325","borneol","borneol","C361",64685
"3326","borneol + linalool oxide (pyranoid)","borneol + linalool oxide (pyranoid)","C3487",NA
"3327","borneol acetate","borneolÂ acetate","C3491",NA
"3328","borneol, acetate","borneol, acetate","C3488",NA
"3329","borneol/p-mentha-1,5-dien-8-ol","borneol/p-mentha-1,5-dien-8-ol","C3489",NA
"3330","borneol+delta-terpineol","borneol+delta-terpineol","C3490",NA
"3331","borneole","borneole","C3492",NA
"3332","bornyl-2-methylbutyrate","bornyl-2-methylbutyrate","C3493",NA
"3333","bornyl 2-methylbutyrate","bornyl 2-methylbutyrate","C3494",22082179
"3334","bornyl acetate","bornyl acetate","C362",6448
"3335","bornyl angelate","bornyl angelate","C3495",6428437
"3336","bornyl benzoate","bornyl benzoate","C3496",6428443
"3337","bornyl formate","bornyl formate","C363",518472
"3338","bornyl isobutyrate","bornylÂ isobutyrate","C3502",91226
"3339","bornyl isobutyrate","bornylÂ isobutyrate","C3502",91226
"3340","bornyl isobutyrate","bornyl isobutyrate","C3497",91226
"3341","bornyl isobutyrate","bornyl isobutyrate","C3497",91226
"3342","bornyl isovalerate","bornyl isovalerate","C3498",60968
"3343","bornyl propionate","bornyl propionate","C3499",89306
"3344","bornyl valerate","bornyl valerate","C3500",110801
"3345","bornyl/isobornyl acetate","bornyl/isobornyl acetate","C3501",NA
"3346","bornylacetate","bornylacetate","C3503",NA
"3347","bornylene","bornylene","C3504",10047
"3348","bourbon-11-ene","bourbon-11-ene","C3505",91749842
"3349","bourbonanol","bourbonanol","C3506",NA
"3350","bourbonene","bourbonene","C3507",NA
"3351","brevifolin","brevifolin","C3508",66654
"3352","bulenesol","bulenesol","C3509",NA
"3353","bulnesene","bulnesene","C3510",16679399
"3354","bulnesol","bulnesol","C364",90785
"3355","bulylated hydroxytoluene","bulylated hydroxytoluene","C3511",NA
"3356","but-2-enal","but-2-enal","C3512",447466
"3357","butan-1-ol","butan-1-ol","C3513",263
"3358","butan-2-ol","butan-2-ol","C3514",6568
"3359","butan-2-one","butan-2-one","C3515",6569
"3360","butanal","butanal","C3516",261
"3361","butanol","butanol","C3517",263
"3362","butanophenone","butanophenone","C3518",NA
"3363","butyl-(E)-cinnamate","butyl-(e)-cinnamate","C3519",NA
"3364","butyl-2-methyibutyrate","butyl-2-methyibutyrate","C3520",NA
"3365","butyl-2-methylbutyrate","butyl-2-methylbutyrate","C3521",61812
"3366","butyl-3-methylbutyrate","butyl-3-methylbutyrate","C3522",NA
"3367","butyl acetate","butyl acetate","C3523",31272
"3368","butyl angelate","butyl angelate","C3524",5364789
"3369","butyl benzene","butyl benzene","C3525",NA
"3370","butyl benzoate","butyl benzoate","C365",8698
"3371","butyl butyrate","butyl butyrate","C3526",7983
"3372","butyl crotonate","butyl crotonate","C3527",5366039
"3373","butyl cyclohexane","butyl cyclohexane","C3528",NA
"3374","butyl decanoate","butyl decanoate","C3529",35408
"3375","butyl hexanoate","butyl hexanoate","C3530",12294
"3376","butyl hydroxyanisole","butyl hydroxyanisole","C3531",24667
"3377","butyl isobutyrate","butyl isobutyrate","C3532",7353
"3378","butyl isothiocynate","butyl isothiocynate","C3533",NA
"3379","butyl isovalerate","butyl isovalerate","C3534",7981
"3380","butyl nonanoate","butyl nonanoate","C3535",39742
"3381","butyl octanoate","butyl octanoate","C3536",11517
"3382","butyl phthalate","butyl phthalate","C3537",3026
"3383","butyl phthalide","butyl phthalide","C3538",NA
"3384","butyl propionate","butyl propionate","C3539",11529
"3385","butyl senecioate","butyl senecioate","C3540",NA
"3386","butyl tiglate","butyl tiglate","C3541",5352450
"3387","butylated hydroxytoluene","butylated hydroxytoluene","C3542",31404
"3388","butyric","butyric","C3543",NA
"3389","butyric acid","butyric acid","C3544",264
"3390","c15h26o unknown","c15h26o unknown","C3545",NA
"3391","c19 alkane","c19 alkane","C3546",NA
"3392","c23 ketone","c23 ketone","C3547",NA
"3393","c4h9-angelate (a)","c4h9-angelate (a)","C3548",NA
"3394","c4h9-angelate (b)","c4h9-angelate (b)","C3549",NA
"3395","c5h11-angelate (c)","c5h11-angelate (c)","C3550",NA
"3396","c6h13-angelate (d)","c6h13-angelate (d)","C3551",NA
"3397","cabreuvaoxide-v","cabreuvaoxide-v","C3552",NA
"3398","cabreuvaoxide-vi","cabreuvaoxide-vi","C3553",NA
"3399","cadala-1(10),3,8-triene","cadala-1(10),3,8-triene","C3554",NA
"3400","cadalene","cadalene","C366",10225
"3401","cadalened","cadalened","C3555",NA
"3402","cadin-4-en-10-ol","cadin-4-en-10-ol","C3556",519662
"3403","cadin-4-en-7-ol","cadin-4-en-7-ol","C3557",NA
"3404","cadin-4-en-7-ol isomer","cadin-4-en-7-ol isomer","C3558",NA
"3405","cadin-alpha-1,4-diene","cadin-alpha-1,4-diene","C370",NA
"3406","cadina-1(10),4-dien-14-ol(syn, 14-hydroxy-delta-cadinene","cadina-1(10),4-dien-14-ol(syn, 14-hydroxy-delta-cadinene","C3559",NA
"3407","cadina-1,-6,4-diene","cadina-1,-6,4-diene","C3560",NA
"3408","cadina-1,4-dien-3-ol","cadina-1,4-dien-3-ol","C3561",NA
"3409","cadina-1,4-diene","cadina-1,4-diene","C367",NA
"3410","cadina-1,4-diene (=cubenene)","cadina-1,4-diene (=cubenene)","C3562",NA
"3411","cadina-1,4-diene (cubenene)","cadina-1,4-diene (cubenene)","C3563",NA
"3412","cadina-1,4-diene+alpha-calacorene","cadina-1,4-diene+alpha-calacorene","C368",NA
"3413","cadina-1,4 diene","cadina-1,4 diene","C3564",NA
"3414","cadina-3,5-dien","cadina-3,5-dien","C3565",NA
"3415","cadina-3,5-diene","cadina-3,5-diene","C3566",NA
"3416","cadina-4,1(10)-dien-8 beta-ol","cadina-4,1(10)-dien-8 beta-ol","C369",NA
"3417","cadina-4,10(15)-dien-3-one","cadina-4,10(15)-dien-3-one","C3567",NA
"3418","cadina-4,10(15)-dien-8 beta-ol","cadina-4,10(15)-dien-8 beta-ol","C3568",NA
"3419","cadina—1,4-diene","cadinaâ€”1,4-diene","C3570",NA
"3420","cadina 1(2),4-diene","cadina 1(2),4-diene","C3569",NA
"3421","cadinadienol","cadinadienol","C3571",NA
"3422","cadinadienol-i","cadinadienol-i","C3572",NA
"3423","cadinadienol-ii","cadinadienol-ii","C3573",NA
"3424","cadinalpha-1,4-diene","cadinalpha-1,4-diene","C3574",NA
"3425","cadinalpha-3,5-diene","cadinalpha-3,5-diene","C3575",NA
"3426","cadinalpha-l,4-diene","cadinalpha-l,4-diene","C3576",NA
"3427","cadine-1,4-diene","cadine-1,4-diene","C3577",NA
"3428","cadinene","?-cadinene","C2740",NA
"3429","cadinene","cadinene","C3578",NA
"3430","cadinene isomer","cadinene isomer","C3579",NA
"3431","cadinol","cadinol","C371",91752279
"3432","cadranol","cadranol","C3580",NA
"3433","cadrol","cadrol","C3581",NA
"3434","caiamenene","caiamenene","C3582",NA
"3435","cajeputol","cajeputol","C3583",2758
"3436","calacorene","calacorene","C372",NA
"3437","calacorene hydrate 1","calacorene hydrate 1","C3584",NA
"3438","calacorene hydrate 2","calacorene hydrate 2","C3585",NA
"3439","calacorene isomer","calacorene isomer","C3586",NA
"3440","calacorenol","calacorenol","C3587",NA
"3441","calacorine","calacorine","C3588",NA
"3442","calamanene","calamanene","C3589",NA
"3443","calamene-1,11-oxide","calamene-1,11-oxide","C3590",NA
"3444","calamenediol","calamenediol","C3591",NA
"3445","calamenen","calamenen","C3592",NA
"3446","calamenen-1,11-epoxide","calamenen-1,11-epoxide","C3593",NA
"3447","calamenene","calamenene","C373",6429077
"3448","calamenene (cis+trans)","calamenene (cis+trans)","C3594",NA
"3449","calamenene+geraniol","calamenene+geraniol","C3595",NA
"3450","calamenenea","calamenenea","C3596",NA
"3451","calamenenol","calamenenol","C3597",NA
"3452","calamenol","calamenol","C3598",NA
"3453","calamusenone","calamusenone","C374",91748856
"3454","calarene","calarene","C375",28481
"3455","calarene (=beta-gurjunene)","calarene (=beta-gurjunene)","C3599",NA
"3456","calarene(=beta-gurjunene)","calarene(=beta-gurjunene)","C3600",NA
"3457","calareneepoxide","calareneepoxide","C3601",NA
"3458","calarnenene","calarnenene","C3602",NA
"3459","calpha-bisabolene","calpha-bisabolene","C3603",NA
"3460","calyophylla-2(12)-6(13)-dien-5beta-ol","calyophylla-2(12)-6(13)-dien-5beta-ol","C3604",NA
"3461","cameroonal-7-alpha-ol","cameroonal-7-alpha-ol","C3605",NA
"3462","camorphene","camorphene","C3606",NA
"3463","camphen","camphen","C3607",NA
"3464","camphene","camphene","C376",6616
"3465","Camphene hydrate","Camphene hydrate","C3608",101680
"3466","camphene+verbenene","camphene+verbenene","C3609",NA
"3467","camphenehydrate","camphenehydrate","C377",NA
"3468","camphenilone","camphenilone","C3610",93073
"3469","camphenol","camphenol","C3611",NA
"3470","camphenone","camphenone","C3612",NA
"3471","campherenol","campherenol","C3613",91747494
"3472","camphhor","camphhor","C3614",NA
"3473","camphjene","camphjene","C3615",NA
"3474","campholaldehyde","campholaldehyde","C3616",NA
"3475","campholenal","campholenal","C3617",NA
"3476","campholene alcohol","campholeneÂ alcohol","C3618",NA
"3477","campholenealdehyde","campholenealdehyde","C3619",NA
"3478","campholenicaldehyde","campholenicaldehyde","C3620",NA
"3479","campholenol","campholenol","C3621",NA
"3480","camphor","camphor","C378",2537
"3481","camphor","camphor","C378",2537
"3482","camphor","camphor*","C3622",2537
"3483","camphor","camphor*","C3622",2537
"3484","camphora","camphora","C3623",159055
"3485","camphore","camphore","C3624",230921
"3486","Camphoric acid","Camphoric acid","C3625",21491
"3487","camphot","camphot","C3626",NA
"3488","camphre","camphre","C3627",NA
"3489","canfene","canfene","C379",NA
"3490","cannabichromene","cannabichromene","C3628",30219
"3491","cannabidiol","cannabidiol","C3629",644019
"3492","canracrol","canracrol","C3630",NA
"3493","capillene","capillene","C3631",3083613
"3494","capillined","capillined","C3632",NA
"3495","capnellane-8-one","capnellane-8-one","C3633",91747914
"3496","capric acid","capric acid","C3634",2969
"3497","caprylic acid","caprylic acid","C3635",379
"3498","car-2-ene","car-2-ene","C3636",NA
"3499","car-3-ene","car-3-ene","C3637",26049
"3500","car-3-ene-2-one","car-3-ene-2-one","C3638",NA
"3501","car-4-ene","car-4-ene","C3639",NA
"3502","caranone","caranone","C3640",557564
"3503","caranyl acetate i","caranyl acetate i","C3641",NA
"3504","caranyl acetate ii","caranyl acetate ii","C380",NA
"3505","caratol","caratol","C3642",NA
"3506","caratoly","caratoly","C381",NA
"3507","cardin-alpha-1,4-diene","cardin-alpha-1,4-diene","C3643",NA
"3508","caria-4(12),8(13)-dien-5-ol","caria-4(12),8(13)-dien-5-ol","C3644",NA
"3509","carissone","carissone","C3645",5086419
"3510","carnphene","carnphene","C3646",NA
"3511","carophyllene oxide","carophyllene oxide","C382",NA
"3512","carotol","carotol","C383",442347
"3513","carotola","carotola","C3647",NA
"3514","carryophyllene oxide","carryophyllene oxide","C3648",NA
"3515","carvacrol","carvacrol","C384",10364
"3516","carvacrol acetate","carvacrolÂ acetate","C3650",80792
"3517","carvacrol acetate","carvacrolÂ acetate","C3650",80792
"3518","carvacrol acetate","carvacrolacetate","C3651",80792
"3519","carvacrol acetate","carvacrolacetate","C3651",80792
"3520","Carvacrol methyl ether","Carvacrol methyl ether","C3649",80790
"3521","carvacrolmethylether","carvacrolmethylether","C3652",80790
"3522","carvacryl acetate","carvacryl acetate","C3653",80792
"3523","carvacrylacetate","carvacrylacetate","C3654",NA
"3524","carvacrylmethyloxide","carvacrylmethyloxide","C3655",NA
"3525","carvavrol","carvavrol","C3656",NA
"3526","carvenone","carvenone","C3657",10363
"3527","carvenoneoxide","carvenoneoxide","C3658",NA
"3528","carveol","carveol","C385",7438
"3529","carveol(E)","carveol(e)","C3659",NA
"3530","carveone","carveone","C3660",NA
"3531","carvol","carvol","C3661",16724
"3532","carvomenthane","carvomenthane","C3662",NA
"3533","carvomenthylacetate","carvomenthylacetate","C3663",NA
"3534","carvon-1,2-oxide","carvon-1,2-oxide","C3664",NA
"3535","carvone","carvone","C386",7439
"3536","carvone-1,2-oxide","carvone-1,2-oxide","C3665",NA
"3537","carvone-8,9-oxide","carvone-8,9-oxide","C3666",NA
"3538","carvone hydrate","carvone hydrate","C3667",NA
"3539","carvone oxide","carvone oxide","C3668",442462
"3540","carvotacetone acetate","carvotacetone acetate","C3669",NA
"3541","carvotanacetone","carvotanacetone","C3670",6432475
"3542","carvotanacetone epoxide","carvotanacetone epoxide","C3671",NA
"3543","carvotane acetone","carvotane acetone","C3672",NA
"3544","carvyl acetate","carvyl acetate","C3673",7335
"3545","caryohyllene oxide","caryohyllene oxide","C3674",NA
"3546","caryolan-8-ol","caryolan-8-ol","C3675",91746499
"3547","caryollalpha-4(14)-8(15)-dienol","caryollalpha-4(14)-8(15)-dienol","C3676",NA
"3548","caryophylene oxide","caryophylene oxide","C3677",14350
"3549","caryophylla-1(12),8(15)-diene-14-ol","caryophylla-1(12),8(15)-diene-14-ol","C3678",NA
"3550","caryophylla-2(12)-6-diene-5-alpha-ol","caryophylla-2(12)-6-diene-5-alpha-ol","C3679",NA
"3551","caryophylla-2(12)-6-diene-5-beta-ol","caryophylla-2(12)-6-diene-5-beta-ol","C3680",NA
"3552","caryophylla-2(12)-6(13)-diene-5-ol","caryophylla-2(12)-6(13)-diene-5-ol","C3681",NA
"3553","caryophylla-2(12),6-dien-5-alpha-ol","caryophylla-2(12),6-dien-5-alpha-ol","C3682",NA
"3554","caryophylla-2(12),6-dien-5-beta-ol","caryophylla-2(12),6-dien-5-beta-ol","C388",NA
"3555","caryophylla-2(12),6-dien-5-ol","caryophylla-2(12),6-dien-5-ol","C3683",NA
"3556","caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)","caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)","C387",NA
"3557","caryophylla-2(12),6-dien-5beta-ol","caryophylla-2(12),6-dien-5beta-ol","C3684",NA
"3558","caryophylla-2(12),6-dien-5beta-ol (=caryophyllenol ii)","caryophylla-2(12),6-dien-5beta-ol (=caryophyllenol ii)","C3685",NA
"3559","caryophylla-2(12),6-diene-5-alpha-ol","caryophylla-2(12),6-diene-5-alpha-ol","C3686",NA
"3560","caryophylla-2(12),6-diene-5-beta-ol","caryophylla-2(12),6-diene-5-beta-ol","C389",NA
"3561","caryophylla-2(12),6-diene-5-ol","caryophylla-2(12),6-diene-5-ol","C3687",NA
"3562","caryophylla-2(12),6-diene-5-one","caryophylla-2(12),6-diene-5-one","C3688",NA
"3563","caryophylla-2(12),6-diene-5alpha-ol","caryophylla-2(12),6-diene-5alpha-ol","C3689",NA
"3564","caryophylla-2(12),6(13)-dien-5alpha-ol (=caryophylladienol ii)","caryophylla-2(12),6(13)-dien-5alpha-ol (=caryophylladienol ii)","C3690",NA
"3565","caryophylla-2(12),6(13)-dien-5beta-ol (=caryophylladienol i)","caryophylla-2(12),6(13)-dien-5beta-ol (=caryophylladienol i)","C3691",NA
"3566","caryophylla-2(12),6(13)-diene-5-alpha-ol","caryophylla-2(12),6(13)-diene-5-alpha-ol","C3692",NA
"3567","caryophylla-2(12),6(13)-diene-5-beta-ol","caryophylla-2(12),6(13)-diene-5-beta-ol","C3693",NA
"3568","caryophylla-2(12),6(13)-diene-5-on","caryophylla-2(12),6(13)-diene-5-on","C3694",NA
"3569","caryophylla-2(12),6(13)-diene-5-one","caryophylla-2(12),6(13)-diene-5-one","C3695",NA
"3570","caryophylla-2,6(13)-diene-5-alpha-ol","caryophylla-2,6(13)-diene-5-alpha-ol","C3696",NA
"3571","caryophylla-3","caryophylla-3","C3697",NA
"3572","caryophylla-3(15),7(14)-diene-6-ol","caryophylla-3(15),7(14)-diene-6-ol","C3698",NA
"3573","caryophylla-3,8( 13)-dien-5-beta-ol","caryophylla-3,8( 13)-dien-5-beta-ol","C3699",NA
